"sentiment","avg_noun_sentiment","avg_verb_sentiment","avg_adverb_sentiment","avg_adjective_sentiment","avg_na_sent","avg_tot_sent","last_punctuation","comma_count","._count","X._count","X._count.1"
0,0.012109375,0,0,0.0348904927571615,0,0.0161260877336775,"?",1,0,0,0
0,0.0094788869222005,0.25,0,-0.09375,0,0.0151561101277669,"",0,0,0,0
0.5,0,0,0,0.232058258727193,0,0.116029129363596,"",0,0,0,0
0,-0.0139518735959428,0,0,-0.0234375,0,-0.0116634367979714,"",0,0,0,0
0,-0.0085957513915168,-0.0625,-0.625,0.0832984924316406,0.0753968253968254,-0.012051336146266,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
0,-0.00445570264543805,0,0,0,0,-0.00445570264543805,"?",1,0,1,0
0,-0.166666666666667,0,-0.625,0,0,-0.28125,"",0,0,0,0
0,0.0423177083333333,0,0,0,0,0.0423177083333333,"",0,0,0,0
0,-0.00390625,0,0,0.0078125,0,0,"",0,0,0,0
-0.5,-0.0847098214285714,-0.375,0,-0.0202932357788085,-0.5,-0.14879284207783,"?",1,0,0,0
-0.5,0.105326533317566,-0.25,0,0.0044136047363281,-0.5,-0.071601132551829,"?",1,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,0.016845703125,0,0,-0.1875,0,-0.0203080610795455,"?",1,0,0,0
-0.5,-0.2,0,0,0,0,-0.1,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
1,0,0,0,0.232058258727193,0,0.116029129363596,"",0,0,0,0
0,-0.0146330985589884,0,0,0,0,-0.0146330985589884,"?",1,0,0,0
0,0,0,0,-0.03125,0,-0.03125,"",0,0,0,0
-0.5,-0.333333333333333,0,0,0,0,-0.166666666666667,"",0,0,0,0
0,-0.06689453125,0,0,0.172607421875,0,-0.018994140625,"?",1,0,0,0
0.5,0.0732421875,0,0,-0.1875,0,0.02109375,"",0,0,0,0
0,0,0,0,0.0110677083333333,0,0.00553385416666667,"?",1,0,0,0
0,-0.0438097393701947,0.125,0,0.0152904391288757,0,-0.0128556972458249,NA,0,0,1,0
0,-0.0625,0,-0.625,0.172607421875,0.428571428571428,-0.0391173070790816,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
0,0.0467354910714285,0,0,0,0.0833333333333333,0.0650344122023809,"",0,0,0,0
-0.5,0.0284366607666015,-0.5,0,-0.03125,0,-0.167604446411133,"",0,0,0,0
0,0.0251020951704545,0,-0.125,-0.0672607421875,0,-0.01214599609375,"?",1,1,0,0
0,0.0001220703125,0,0,0.0009765625,0,0.000348772321428571,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,0.0909016927083333,0,0,0.046960711479187,0,0.0799164474010468,"",0,0,0,0
0,0.000508824984232567,0,0,0,0,0.000508824984232567,"?",1,0,0,0
0,-0.0195865631103516,0,0,-0.0199466049671173,0,-0.019676573574543,"",0,0,0,0
0,0,-0.1875,0,0,0,-0.075,"?",1,0,0,0
0,0.001007080078125,0,0,-0.0388997395833333,0,-0.0140838623046875,"?",1,0,0,0
0,0.0249507188331336,0,0,0.125,0,0.0454321449241516,"?",1,0,0,0
0,-0.0321428571428571,0,-0.3125,-0.09375,0,-0.0943181818181818,"",0,2,1,0
0,-0.0458333333333333,0,0,0.015625,0,-0.0282738095238095,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0.5,0.0535714285714285,0,0,-0.0391888618469238,0,0.0226513317653111,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
0,-0.0625,0,-0.625,0,0,-0.203125,"",0,0,0,0
0.5,0,0,0,0.124755919933319,0,0.124755919933319,"",0,0,0,0
0,0.000381618738174425,0,0,0,0,0.000381618738174425,"",0,0,0,0
0,-0.0144922574361165,0,0,0.250244140625,0,0.0830930016257546,"",0,1,0,0
-0.5,7.32421875e-05,-0.333333333333333,0,0.0009765625,0,-0.0738163700810185,"",0,0,0,0
0,-0.0427054166793823,0,0,0,0,-0.0355878472328186,"?",1,0,0,0
0.5,0.434782608695652,0,0,0,0,0.434782608695652,"",0,0,0,0
0,9.5367431640625e-07,0,0,0.00439453125,0,0.0014654795328776,"",0,0,0,0
0,-0.031005859375,0,0,-0.0903129577636718,0,-0.0606594085693359,"",0,0,0,0
0,0.00408182541529337,0,0,0.0048828125,0,0.00428207218647002,"?",1,0,0,0
-1,-0.166666666666667,0,0,0,0,-0.166666666666667,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
-0.5,0,0,0,0,-0.5,-0.5,"",0,0,0,0
0,0,0,0,-0.25,0,-0.25,"",0,0,0,0
0.5,0,0,0,0,0,0,"",0,0,0,0
0,0,0,0,0.0634765625,0,0.0634765625,"",0,0,0,0
0,0,0.3125,0,0,0,0.078125,"",0,0,0,0
0,-0.0358154016236464,0,0,0,0,-0.0358154016236464,"?",1,0,0,0
-0.5,0,0,0,0,0,0,"",0,0,0,0
0,0,0,0,-0.0903129577636718,0,-0.0451564788818359,"",0,0,0,0
0,-0.0009765625,0,0,-0.1875,0,-0.047607421875,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,-0.015625,0,0,0,0,-0.015625,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
0,-0.0157470703125,0.001953125,0.09375,0.001953125,0,0.00433349609375,"",0,0,0,0
0.5,0.434782608695652,0,0,0,0,0.434782608695652,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,-0.0076904296875,0,0,0,0,-0.005126953125,"!",0,0,0,1
0,-0.00621104240417481,0.28125,0,0.0237927387158076,0,0.036287478425286,"",0,1,0,0
0,0.00076323747634885,0,0,0,0,0.000381618738174425,"?",1,0,0,0
0,-0.0458333333333333,0,0,0.015625,0,-0.0282738095238095,"",0,0,0,0
0,0.0628816187381744,-0.1875,0,0.03790283203125,0,-0.00595848262310029,"?",1,0,0,0
0,-0.026707649230957,0,0,0,0,-0.0207726160685221,"",1,1,0,0
-0.5,-0.142766118049622,0,-0.0625,0.123401235168179,-0.5,-0.0993049267369012,"",1,1,0,0
0,0.0249507188331336,0,0,0.125,0,0.0454321449241516,"?",1,0,0,0
0,0,0,0,0.184895833333333,0,0.1109375,"",0,0,0,0
0,0,0,0,0,0,0,"?",1,0,0,0
0,0.022379676481781,0,0,0,0,0.0134278058890686,"?",1,0,0,0
0,-0.05419921875,0,0,0,0,-0.05419921875,"",0,0,0,0
0,-0.0208333333333333,0,0,0,0,-0.015625,"",0,0,0,0
0.5,0,0,0,0.125,0,0.125,"",0,0,0,0
0,-0.0076904296875,0,0,0,0,-0.005126953125,"",0,0,0,0
0,0.212890625,0,0,0.15625,0,0.1845703125,"",0,0,0,0
0,0.093414306640625,0,0.125,-0.03125,0,0.0701446533203125,"",0,0,0,0
0,-0.124453544616699,0,0,0,0,-0.0311133861541748,"",0,0,0,0
1,0,0,0,0,0,0,"",0,0,0,0
1,0.01513671875,0,0,0.1630859375,0,0.064453125,"",0,0,0,0
0.5,0,0,0,0,0,0,"",0,0,0,0
1,0,0,0,0,1,1,"",0,0,0,0
0.5,0,0,0,0.37890625,0,0.37890625,"",0,0,0,0
1,0,0,0,0,1,1,"",0,0,0,0
0.5,-0.0303001403808593,0,0,0.232058258727193,0,0.100879059173167,"",0,0,0,0
-0.5,0.434782608695652,0,0,0,-0.5,-0.0326086956521739,"",0,0,0,0
1,0,0,0,0.0847791293635964,0,0.0847791293635964,"",0,0,0,0
1,-0.1875,0,0,0,0,-0.1875,"",0,0,0,0
1,0,0,0,0,1,1,"",0,0,0,0
0.5,0,0,0,0,0,0,"",0,0,0,0
0,-0.15625,0,0,0,0,-0.0520833333333333,"",0,0,0,0
0.5,0,0,0,0,0.5,0.5,"",0,0,0,0
-0.5,0.0684523809523809,0,-0.625,0,0,-0.104910714285714,"",0,0,0,0
-0.5,0,0,0,0,-0.5,-0.5,"",0,0,0,0
-0.5,0,0,0,0,-0.25,-0.25,"",0,0,0,0
0.5,-0.0029296875,0,0,0,0.5,0.24853515625,"",0,0,0,0
0,-0.00274644580027989,0,0,0.1640625,0,0.0181046724247551,"",0,0,0,0
1,-0.4375,0,0,0,0,-0.21875,"",0,0,0,0
0.5,-0.0029296875,0,0,0,0.5,0.24853515625,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
1,0,0,0,0,1,1,"",0,0,0,0
1,0,0,0,0,0.815789473684211,0.815789473684211,"",0,0,0,0
0.5,0,0,0,0.232058258727193,0.2,0.144019419575731,"",0,0,0,0
0,0,0,0,0,-0.25,-0.125,"?",1,0,0,0
0,0.055954570211652,0,0,0,0,0.04662880850971,"",0,0,0,0
1,0,0,0,0,0.833333333333333,0.833333333333333,"",0,0,0,0
0,0,0,0,0.04296875,0,0.0286458333333333,"?",1,0,0,0
-0.5,-0.00390625,-0.166666666666667,-0.625,-0.015625,0,-0.138454861111111,"",0,0,0,0
0.5,0.00390625,0,0,-0.08203125,0.2,0.0314453125,"",0,0,0,0
0.5,0,0,0,0,0.25,0.25,"",0,0,0,0
0,-0.0623178482055664,0,0,0,0,-0.0623178482055664,"?",1,0,0,0
1,0,0,0,0,0.815789473684211,0.815789473684211,"",0,0,0,0
0.5,0.434782608695652,0,0,0,0,0.434782608695652,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
-0.5,0,0,0,0,-0.5,-0.5,"",0,0,0,0
0.5,0,0,0,0,0.5,0.5,"",0,0,0,0
0.5,-0.0182291666666667,0,0,0.25830078125,0,0.0739474826388889,"",0,0,0,0
